!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Fri Sep 09 10:23:43 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, +2.51375582162e+007, -1.69414973065e+008
+1.26997500000e+003, +5.56781166354e+005, -3.89248202605e+006
+2.51995000000e+003, +4.05859344179e+005, -2.08570813904e+006
+3.76992500000e+003, +3.31802989375e+005, -1.47436105687e+006
+5.01990000000e+003, +2.81244853359e+005, -1.16319100638e+006
+6.26987500000e+003, +2.41485350073e+005, -9.73941158115e+005
+7.51985000000e+003, +2.09089251657e+005, -8.42319406654e+005
+8.76982500000e+003, +1.82247619150e+005, -7.47214239893e+005
+1.00198000000e+004, +1.59985295582e+005, -6.72693193671e+005
+1.12697750000e+004, +1.40733282793e+005, -6.13394971112e+005
+1.25197500000e+004, +1.24880330188e+005, -5.63946145533e+005
+1.37697250000e+004, +1.11286037459e+005, -5.22248445563e+005
+1.50197000000e+004, +9.96358381990e+004, -4.86250063572e+005
+1.62696750000e+004, +8.96265976683e+004, -4.55141161099e+005
+1.75196500000e+004, +8.10988985392e+004, -4.27422652766e+005
+1.87696250000e+004, +7.35007730673e+004, -4.03206392771e+005
+2.00196000000e+004, +6.68245716176e+004, -3.81531920036e+005
+2.12695750000e+004, +6.12382908443e+004, -3.61969080331e+005
+2.25195500000e+004, +5.62151873008e+004, -3.44352093696e+005
+2.37695250000e+004, +5.17487432902e+004, -3.28359482268e+005
+2.50195000000e+004, +4.77820031634e+004, -3.13750739420e+005
+2.62694750000e+004, +4.43646650519e+004, -3.00377228845e+005
+2.75194500000e+004, +4.11496572387e+004, -2.88002886075e+005
+2.87694250000e+004, +3.82984567131e+004, -2.76735447803e+005
+3.00194000000e+004, +3.58818387926e+004, -2.65975335629e+005
+3.12693750000e+004, +3.34296020330e+004, -2.56263334011e+005
+3.25193500000e+004, +3.13645630104e+004, -2.47244270475e+005
+3.37693250000e+004, +2.94591483795e+004, -2.38649133190e+005
+3.50193000000e+004, +2.77919232163e+004, -2.30785805831e+005
+3.62692750000e+004, +2.62107669616e+004, -2.23453873943e+005
+3.75192500000e+004, +2.48008142191e+004, -2.16405726915e+005
+3.87692250000e+004, +2.34572838654e+004, -2.09869526705e+005
+4.00192000000e+004, +2.23208507608e+004, -2.03727282252e+005
+4.12691750000e+004, +2.13009973365e+004, -1.97755504729e+005
+4.25191500000e+004, +1.95926767206e+004, -1.92432515457e+005
+4.37691250000e+004, +1.89709858230e+004, -1.87348824572e+005
+4.50191000000e+004, +1.82783503542e+004, -1.82193076710e+005
+4.62690750000e+004, +1.74640355182e+004, -1.77574552071e+005
+4.75190500000e+004, +1.66946714735e+004, -1.73055193580e+005
+4.87690250000e+004, +1.60147632929e+004, -1.68867405563e+005
+5.00190000000e+004, +1.52989421844e+004, -1.64917039421e+005
+5.12689750000e+004, +1.46733388543e+004, -1.60954705288e+005
+5.25189500000e+004, +1.41402437206e+004, -1.57328982589e+005
+5.37689250000e+004, +1.36180329139e+004, -1.53844224234e+005
+5.50189000000e+004, +1.30527179337e+004, -1.50429398477e+005
+5.62688750000e+004, +1.25703211190e+004, -1.47241342601e+005
+5.75188500000e+004, +1.21260119569e+004, -1.44125827932e+005
+5.87688250000e+004, +1.16872402229e+004, -1.41286204879e+005
+6.00188000000e+004, +1.12191455448e+004, -1.38383256607e+005
+6.12687750000e+004, +1.09137815878e+004, -1.35653595570e+005
+6.25187500000e+004, +1.05176307024e+004, -1.33078990385e+005
+6.37687250000e+004, +1.01980491271e+004, -1.30506034325e+005
+6.50187000000e+004, +9.84573838570e+003, -1.28104248560e+005
+6.62686750000e+004, +9.59542009539e+003, -1.25737055109e+005
+6.75186500000e+004, +9.22802925679e+003, -1.23472511573e+005
+6.87686250000e+004, +8.97007542964e+003, -1.21356667854e+005
+7.00186000000e+004, +8.63791039163e+003, -1.19196294284e+005
+7.12685750000e+004, +8.45520730361e+003, -1.17190779736e+005
+7.25185500000e+004, +8.22295931916e+003, -1.15252155972e+005
+7.37685250000e+004, +8.00776370073e+003, -1.13330848402e+005
+7.50185000000e+004, +7.76665003115e+003, -1.11508298555e+005
+7.62684750000e+004, +7.52034676649e+003, -1.09753503414e+005
+7.75184500000e+004, +7.35140967744e+003, -1.07981261774e+005
+7.87684250000e+004, +7.17154133381e+003, -1.06338949279e+005
+8.00184000000e+004, +6.99011986482e+003, -1.04718394211e+005
+8.12683750000e+004, +6.80560054245e+003, -1.03142149818e+005
+8.25183500000e+004, +6.63915550591e+003, -1.01649393432e+005
+8.37683250000e+004, +6.44640033912e+003, -1.00175103586e+005
+8.50183000000e+004, +6.32135186456e+003, -9.87291395481e+004
+8.62682750000e+004, +6.13381202284e+003, -9.73339132865e+004
+8.75182500000e+004, +6.03852892062e+003, -9.60213564038e+004
+8.87682250000e+004, +5.89070968221e+003, -9.46282450392e+004
+9.00182000000e+004, +5.74703522317e+003, -9.33785065757e+004
+9.12681750000e+004, +5.62974588775e+003, -9.20989663152e+004
+9.25181500000e+004, +5.49048742168e+003, -9.09084912728e+004
+9.37681250000e+004, +5.35474004853e+003, -8.97249571889e+004
+9.50181000000e+004, +5.27081462109e+003, -8.85588966387e+004
+9.62680750000e+004, +5.16688856910e+003, -8.74472330125e+004
+9.75180500000e+004, +4.99734456383e+003, -8.63776171339e+004
+9.87680250000e+004, +4.92388683512e+003, -8.52749833310e+004
+1.00018000000e+005, +4.84435772125e+003, -8.42475419901e+004
+1.01267975000e+005, +4.75423448691e+003, -8.32008745118e+004
+1.02517950000e+005, +4.63206907824e+003, -8.22221111695e+004
+1.03767925000e+005, +4.55094428162e+003, -8.12461396309e+004
+1.05017900000e+005, +4.46581666082e+003, -8.02914651857e+004
+1.06267875000e+005, +4.36881128397e+003, -7.93959591215e+004
+1.07517850000e+005, +4.29609737985e+003, -7.84569803106e+004
+1.08767825000e+005, +4.22873823134e+003, -7.75784766228e+004
+1.10017800000e+005, +4.15085613410e+003, -7.67229806319e+004
+1.11267775000e+005, +4.08441482002e+003, -7.58666101930e+004
+1.12517750000e+005, +3.97048410404e+003, -7.49921084451e+004
+1.13767725000e+005, +3.92356011802e+003, -7.42561120982e+004
+1.15017700000e+005, +3.86111445151e+003, -7.34562372544e+004
+1.16267675000e+005, +3.77715780313e+003, -7.27083438367e+004
+1.17517650000e+005, +3.74045809148e+003, -7.19339214647e+004
+1.18767625000e+005, +3.65256244993e+003, -7.11757907098e+004
+1.20017600000e+005, +3.62445782261e+003, -7.04607825137e+004
+1.21267575000e+005, +3.54937359258e+003, -6.97392812086e+004
+1.22517550000e+005, +3.49697065623e+003, -6.90229402901e+004
+1.23767525000e+005, +3.42811042753e+003, -6.83672747813e+004
+1.25017500000e+005, +3.39042289498e+003, -6.76665396683e+004
+1.26267475000e+005, +3.32075818253e+003, -6.70399580096e+004
+1.27517450000e+005, +3.26923392902e+003, -6.63854144363e+004
+1.28767425000e+005, +3.22072728311e+003, -6.57707458934e+004
+1.30017400000e+005, +3.29049525796e+003, -6.51173384212e+004
