!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Thu Sep 08 16:56:13 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, +2.25004781095e+007, -2.30761430175e+008
+1.26997500000e+003, +6.72176821799e+005, -3.93491849417e+006
+2.51995000000e+003, +4.80481186406e+005, -2.14698366448e+006
+3.76992500000e+003, +3.87337480555e+005, -1.54488308469e+006
+5.01990000000e+003, +3.14281141239e+005, -1.23109644595e+006
+6.26987500000e+003, +2.58781589885e+005, -1.03469745998e+006
+7.51985000000e+003, +2.17933009222e+005, -8.98363796815e+005
+8.76982500000e+003, +1.84418459826e+005, -7.95422824618e+005
+1.00198000000e+004, +1.57179387211e+005, -7.14051841884e+005
+1.12697750000e+004, +1.35677476869e+005, -6.49316540017e+005
+1.25197500000e+004, +1.17656377563e+005, -5.95120331760e+005
+1.37697250000e+004, +1.03621995708e+005, -5.48713046850e+005
+1.50197000000e+004, +9.13946523266e+004, -5.09248714720e+005
+1.62696750000e+004, +8.09580512217e+004, -4.74956093861e+005
+1.75196500000e+004, +7.27593655288e+004, -4.45173825573e+005
+1.87696250000e+004, +6.56272344799e+004, -4.18638000108e+005
+2.00196000000e+004, +5.92179083189e+004, -3.94994501393e+005
+2.12695750000e+004, +5.41291972382e+004, -3.74131970724e+005
+2.25195500000e+004, +4.93025952651e+004, -3.55292343339e+005
+2.37695250000e+004, +4.54645215963e+004, -3.38073115609e+005
+2.50195000000e+004, +4.17068598808e+004, -3.22463747586e+005
+2.62694750000e+004, +3.86482237699e+004, -3.08343495445e+005
+2.75194500000e+004, +3.58754537116e+004, -2.95328535942e+005
+2.87694250000e+004, +3.39056551600e+004, -2.83183613912e+005
+3.00194000000e+004, +3.12015545684e+004, -2.72245083170e+005
+3.12693750000e+004, +2.92741167284e+004, -2.61986582757e+005
+3.25193500000e+004, +2.74653490405e+004, -2.52648752088e+005
+3.37693250000e+004, +2.58502123634e+004, -2.43674582405e+005
+3.50193000000e+004, +2.42901291320e+004, -2.35475320399e+005
+3.62692750000e+004, +2.31168746810e+004, -2.27735084681e+005
+3.75192500000e+004, +2.17963203972e+004, -2.20562301272e+005
+3.87692250000e+004, +2.06947152001e+004, -2.13696395743e+005
+4.00192000000e+004, +1.97573152318e+004, -2.07384258895e+005
+4.12691750000e+004, +1.88850838980e+004, -2.01209673844e+005
+4.25191500000e+004, +1.72409974683e+004, -1.96039820456e+005
+4.37691250000e+004, +1.69953258092e+004, -1.90451043589e+005
+4.50191000000e+004, +1.62639777478e+004, -1.85435045615e+005
+4.62690750000e+004, +1.55907466077e+004, -1.80481206794e+005
+4.75190500000e+004, +1.48992900259e+004, -1.75924452656e+005
+4.87690250000e+004, +1.42544182935e+004, -1.71658320727e+005
+5.00190000000e+004, +1.37324862824e+004, -1.67468099175e+005
+5.12689750000e+004, +1.31697079251e+004, -1.63523670079e+005
+5.25189500000e+004, +1.27456646313e+004, -1.59762148144e+005
+5.37689250000e+004, +1.22651909891e+004, -1.56183405095e+005
+5.50189000000e+004, +1.18397589459e+004, -1.52747098741e+005
+5.62688750000e+004, +1.13634064664e+004, -1.49506148475e+005
+5.75188500000e+004, +1.10584571078e+004, -1.46374058735e+005
+5.87688250000e+004, +1.06051938097e+004, -1.43341083239e+005
+6.00188000000e+004, +1.02897533405e+004, -1.40437547598e+005
+6.12687750000e+004, +9.96788792221e+003, -1.37690785972e+005
+6.25187500000e+004, +9.71413424382e+003, -1.34988554318e+005
+6.37687250000e+004, +9.35221230114e+003, -1.32444138550e+005
+6.50187000000e+004, +9.05329140613e+003, -1.29970305221e+005
+6.62686750000e+004, +8.81631487494e+003, -1.27578846764e+005
+6.75186500000e+004, +8.52555757000e+003, -1.25303242227e+005
+6.87686250000e+004, +8.35702459058e+003, -1.23139201624e+005
+7.00186000000e+004, +8.08055305018e+003, -1.21050106284e+005
+7.12685750000e+004, +7.86315565726e+003, -1.18909615798e+005
+7.25185500000e+004, +7.68689660103e+003, -1.16878128658e+005
+7.37685250000e+004, +7.46072783435e+003, -1.14991259651e+005
+7.50185000000e+004, +7.30611175767e+003, -1.13116935047e+005
+7.62684750000e+004, +7.11146371776e+003, -1.11334508547e+005
+7.75184500000e+004, +6.93140016541e+003, -1.09544702581e+005
+7.87684250000e+004, +6.78427095477e+003, -1.07882513362e+005
+8.00184000000e+004, +6.59367555512e+003, -1.06214850298e+005
+8.12683750000e+004, +6.44389773476e+003, -1.04646781228e+005
+8.25183500000e+004, +6.30647830292e+003, -1.03080967529e+005
+8.37683250000e+004, +6.19812184373e+003, -1.01611647263e+005
+8.50183000000e+004, +6.01742515427e+003, -1.00153773586e+005
+8.62682750000e+004, +5.89181219064e+003, -9.87406138276e+004
+8.75182500000e+004, +5.75919972899e+003, -9.73673600156e+004
+8.87682250000e+004, +5.64542307028e+003, -9.60262985190e+004
+9.00182000000e+004, +5.51761377456e+003, -9.47061449458e+004
+9.12681750000e+004, +5.44684811996e+003, -9.34770610169e+004
+9.25181500000e+004, +5.31969649089e+003, -9.22294575476e+004
+9.37681250000e+004, +5.19460498003e+003, -9.10301060135e+004
+9.50181000000e+004, +5.09088219402e+003, -8.98519431219e+004
+9.62680750000e+004, +4.98679021138e+003, -8.87283245485e+004
+9.75180500000e+004, +4.91300299439e+003, -8.75860493722e+004
+9.87680250000e+004, +4.77164964896e+003, -8.65495427198e+004
+1.00018000000e+005, +4.73006178678e+003, -8.54486379414e+004
+1.01267975000e+005, +4.65629716221e+003, -8.44581507299e+004
+1.02517950000e+005, +4.55565007254e+003, -8.34454534287e+004
+1.03767925000e+005, +4.44769546975e+003, -8.24520096002e+004
+1.05017900000e+005, +4.38873716199e+003, -8.15010833238e+004
+1.06267875000e+005, +4.30952897783e+003, -8.05570879704e+004
+1.07517850000e+005, +4.25368643227e+003, -7.96418414535e+004
+1.08767825000e+005, +4.17557843394e+003, -7.87397879274e+004
+1.10017800000e+005, +4.10038095727e+003, -7.78829110054e+004
+1.11267775000e+005, +4.02868619064e+003, -7.70234006994e+004
+1.12517750000e+005, +3.98028056201e+003, -7.61878512657e+004
+1.13767725000e+005, +3.89781964560e+003, -7.53550179418e+004
+1.15017700000e+005, +3.86759238534e+003, -7.45475472475e+004
+1.16267675000e+005, +3.80127940040e+003, -7.37772734991e+004
+1.17517650000e+005, +3.73167378265e+003, -7.30080387399e+004
+1.18767625000e+005, +3.67375510647e+003, -7.22665422805e+004
+1.20017600000e+005, +3.61172596047e+003, -7.15123161206e+004
+1.21267575000e+005, +3.55179420922e+003, -7.08002829820e+004
+1.22517550000e+005, +3.49046601034e+003, -7.00976104007e+004
+1.23767525000e+005, +3.43929264380e+003, -6.94099389978e+004
+1.25017500000e+005, +3.41494047257e+003, -6.87039788921e+004
+1.26267475000e+005, +3.35687283747e+003, -6.80344269829e+004
+1.27517450000e+005, +3.31123566501e+003, -6.73928884907e+004
+1.28767425000e+005, +3.25648160174e+003, -6.67599860643e+004
+1.30017400000e+005, +3.21085778042e+003, -6.61180866416e+004
+1.31267375000e+005, +3.17738618480e+003, -6.54970415705e+004
+1.32517350000e+005, +3.12934768947e+003, -6.49049205957e+004
+1.33767325000e+005, +3.07566903061e+003, -6.43213067545e+004
+1.35017300000e+005, +3.05435071170e+003, -6.37333778914e+004
+1.36267275000e+005, +3.00688688160e+003, -6.32002596082e+004
+1.37517250000e+005, +2.92752796811e+003, -6.26332469360e+004
+1.38767225000e+005, +2.93997013102e+003, -6.20487828021e+004
+1.40017200000e+005, +2.89210157293e+003, -6.15274192176e+004
+1.41267175000e+005, +2.85512705642e+003, -6.09696049480e+004
+1.42517150000e+005, +2.79993753664e+003, -6.04572622142e+004
+1.43767125000e+005, +2.80510280160e+003, -5.99357089349e+004
+1.45017100000e+005, +2.76157854593e+003, -5.94221826031e+004
+1.46267075000e+005, +2.76198447143e+003, -5.88823280333e+004
+1.47517050000e+005, +2.67656532738e+003, -5.84319704261e+004
+1.48767025000e+005, +2.66944002002e+003, -5.79493012230e+004
+1.50017000000e+005, +2.63706805320e+003, -5.74861029930e+004
+1.51266975000e+005, +2.60627614441e+003, -5.70141614864e+004
+1.52516950000e+005, +2.57104506350e+003, -5.65469883340e+004
+1.53766925000e+005, +2.53727472063e+003, -5.61078187778e+004
+1.55016900000e+005, +2.52319049794e+003, -5.56580385960e+004
+1.56266875000e+005, +2.50621228525e+003, -5.52513538792e+004
+1.57516850000e+005, +2.46837814289e+003, -5.47990673882e+004
+1.58766825000e+005, +2.43670721320e+003, -5.43745731247e+004
+1.60016800000e+005, +2.40079411225e+003, -5.39554731725e+004
+1.61266775000e+005, +2.36865300046e+003, -5.35442976507e+004
+1.62516750000e+005, +2.36703481732e+003, -5.31435145026e+004
+1.63766725000e+005, +2.34936164045e+003, -5.27638040866e+004
+1.65016700000e+005, +2.24380826406e+003, -5.23529394801e+004
+1.66266675000e+005, +2.29081803902e+003, -5.19662836114e+004
+1.67516650000e+005, +2.27518434778e+003, -5.15610974730e+004
+1.68766625000e+005, +2.24367485082e+003, -5.12302158302e+004
+1.70016600000e+005, +2.19610734896e+003, -5.09088415503e+004
+1.71266575000e+005, +2.17361436000e+003, -5.04609331474e+004
+1.72516550000e+005, +2.17431901371e+003, -5.01226487530e+004
+1.73766525000e+005, +2.14296603671e+003, -4.97643617751e+004
+1.75016500000e+005, +2.12770793975e+003, -4.94104875989e+004
+1.76266475000e+005, +2.11004708352e+003, -4.90751993291e+004
+1.77516450000e+005, +2.09301273720e+003, -4.87155631790e+004
+1.78766425000e+005, +2.06473702487e+003, -4.84042817391e+004
+1.80016400000e+005, +2.04432258628e+003, -4.80746827624e+004
+1.81266375000e+005, +2.08964826066e+003, -4.77452743428e+004
+1.82516350000e+005, +2.00449098382e+003, -4.74312715355e+004
+1.83766325000e+005, +1.99334311432e+003, -4.71168078593e+004
+1.85016300000e+005, +1.98829108510e+003, -4.67953049550e+004
+1.86266275000e+005, +1.96177607171e+003, -4.64783974161e+004
+1.87516250000e+005, +1.93135996240e+003, -4.61818494840e+004
+1.88766225000e+005, +1.93496819918e+003, -4.58744389250e+004
+1.90016200000e+005, +1.89841096513e+003, -4.55845896885e+004
+1.91266175000e+005, +1.89352303138e+003, -4.52732318712e+004
+1.92516150000e+005, +1.87313395953e+003, -4.50123752012e+004
+1.93766125000e+005, +1.85588262729e+003, -4.47193814045e+004
+1.95016100000e+005, +1.82618453392e+003, -4.44347406438e+004
+1.96266075000e+005, +1.83648996109e+003, -4.41711696197e+004
+1.97516050000e+005, +1.81215203508e+003, -4.38890747790e+004
+1.98766025000e+005, +1.79135431233e+003, -4.36220890904e+004
+2.00016000000e+005, +1.78641573305e+003, -4.33166057616e+004
