!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Thu Sep 08 16:05:33 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, -6.88582427269e+005, -2.50572202456e+008
+1.26997500000e+003, +7.80792798674e+005, -4.00566614309e+006
+2.51995000000e+003, +5.50306422085e+005, -2.24169323509e+006
+3.76992500000e+003, +4.15914289353e+005, -1.62483422678e+006
+5.01990000000e+003, +3.30224778806e+005, -1.29736760028e+006
+6.26987500000e+003, +2.66279579649e+005, -1.09049975666e+006
+7.51985000000e+003, +2.14578886745e+005, -9.42954366975e+005
+8.76982500000e+003, +1.79286405626e+005, -8.32140937840e+005
+1.00198000000e+004, +1.49625996595e+005, -7.44607805158e+005
+1.12697750000e+004, +1.27509776112e+005, -6.74388666958e+005
+1.25197500000e+004, +1.09450638965e+005, -6.16731309531e+005
+1.37697250000e+004, +9.50760605614e+004, -5.67453503965e+005
+1.50197000000e+004, +8.42158598038e+004, -5.25013591909e+005
+1.62696750000e+004, +7.45043625529e+004, -4.89091656342e+005
+1.75196500000e+004, +6.65750056445e+004, -4.56992279079e+005
+1.87696250000e+004, +5.98811172680e+004, -4.29380021957e+005
+2.00196000000e+004, +5.41393489540e+004, -4.05035340271e+005
+2.12695750000e+004, +4.92153699717e+004, -3.82759848152e+005
+2.25195500000e+004, +4.48824490051e+004, -3.63154278970e+005
+2.37695250000e+004, +4.14036749510e+004, -3.45260877386e+005
+2.50195000000e+004, +3.81339166155e+004, -3.29191002717e+005
+2.62694750000e+004, +3.52140956984e+004, -3.14413303884e+005
+2.75194500000e+004, +3.27342853877e+004, -3.01067388186e+005
+2.87694250000e+004, +3.05200804117e+004, -2.88560317458e+005
+3.00194000000e+004, +2.85349776477e+004, -2.77180492590e+005
+3.12693750000e+004, +2.66219790268e+004, -2.66671914417e+005
+3.25193500000e+004, +2.51606058950e+004, -2.56968371027e+005
+3.37693250000e+004, +2.35962154546e+004, -2.47819314195e+005
+3.50193000000e+004, +2.22865864197e+004, -2.39386201416e+005
+3.62692750000e+004, +2.11626407224e+004, -2.31567483036e+005
+3.75192500000e+004, +2.00284998611e+004, -2.24129754370e+005
+3.87692250000e+004, +1.91031494916e+004, -2.17126821315e+005
+4.00192000000e+004, +1.80729493898e+004, -2.10680774341e+005
+4.12691750000e+004, +1.70106200843e+004, -2.04565837582e+005
+4.25191500000e+004, +1.70066628422e+004, -1.98516519390e+005
+4.37691250000e+004, +1.57709371496e+004, -1.93182306635e+005
+4.50191000000e+004, +1.51677463751e+004, -1.88132519194e+005
+4.62690750000e+004, +1.45023900756e+004, -1.83235921109e+005
+4.75190500000e+004, +1.38978150580e+004, -1.78627806553e+005
+4.87690250000e+004, +1.33487036383e+004, -1.74108675173e+005
+5.00190000000e+004, +1.28724997407e+004, -1.70033835576e+005
+5.12689750000e+004, +1.23289138308e+004, -1.65891977361e+005
+5.25189500000e+004, +1.18790386881e+004, -1.62106906079e+005
+5.37689250000e+004, +1.14838952715e+004, -1.58495815396e+005
+5.50189000000e+004, +1.11007888231e+004, -1.55018498674e+005
+5.62688750000e+004, +1.07925998805e+004, -1.51713390702e+005
+5.75188500000e+004, +1.03929809550e+004, -1.48473803548e+005
+5.87688250000e+004, +1.00190062212e+004, -1.45402059843e+005
+6.00188000000e+004, +9.60956824133e+003, -1.42447424223e+005
+6.12687750000e+004, +9.48319998540e+003, -1.39574537043e+005
+6.25187500000e+004, +9.20097411218e+003, -1.36923903535e+005
+6.37687250000e+004, +8.94048834041e+003, -1.34339696888e+005
+6.50187000000e+004, +8.69773013649e+003, -1.31736802679e+005
+6.62686750000e+004, +8.39205828733e+003, -1.29401368975e+005
+6.75186500000e+004, +8.20518730872e+003, -1.27071853720e+005
+6.87686250000e+004, +7.97466675816e+003, -1.24769930809e+005
+7.00186000000e+004, +7.77519413300e+003, -1.22663486491e+005
+7.12685750000e+004, +7.54414851353e+003, -1.20539510609e+005
+7.25185500000e+004, +7.35095127394e+003, -1.18521799730e+005
+7.37685250000e+004, +7.18298331832e+003, -1.16572643857e+005
+7.50185000000e+004, +7.02042780290e+003, -1.14682586446e+005
+7.62684750000e+004, +6.87653438923e+003, -1.12846041817e+005
+7.75184500000e+004, +6.71666188915e+003, -1.11071782788e+005
+7.87684250000e+004, +6.54660578722e+003, -1.09359535841e+005
+8.00184000000e+004, +6.38793502470e+003, -1.07709190800e+005
+8.12683750000e+004, +6.24994128953e+003, -1.06088881190e+005
+8.25183500000e+004, +6.10896755973e+003, -1.04487483778e+005
+8.37683250000e+004, +5.99693990814e+003, -1.02972111106e+005
+8.50183000000e+004, +5.92558275380e+003, -1.01559025979e+005
+8.62682750000e+004, +5.76361966184e+003, -1.00112064420e+005
+8.75182500000e+004, +5.64843294397e+003, -9.86848653552e+004
+8.87682250000e+004, +5.51413477918e+003, -9.73510689225e+004
+9.00182000000e+004, +5.40289822470e+003, -9.60086552943e+004
+9.12681750000e+004, +5.28821853607e+003, -9.47395879021e+004
+9.25181500000e+004, +5.21450617383e+003, -9.35041503326e+004
+9.37681250000e+004, +5.09282937460e+003, -9.22820422003e+004
+9.50181000000e+004, +5.00876483607e+003, -9.10890228874e+004
+9.62680750000e+004, +4.89816157873e+003, -8.99289400085e+004
+9.75180500000e+004, +4.82664306182e+003, -8.87904502707e+004
+9.87680250000e+004, +4.74518927885e+003, -8.77134390838e+004
