!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Thu Sep 08 16:57:41 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.00000000000e+001, +1.00653729595e+008, -1.63190405748e+008
+1.26997500000e+003, +4.71616009173e+005, -3.79015470765e+006
+2.51995000000e+003, +3.53820592337e+005, -2.00409722306e+006
+3.76992500000e+003, +2.94592457293e+005, -1.39841970407e+006
+5.01990000000e+003, +2.55393138372e+005, -1.09665324565e+006
+6.26987500000e+003, +2.27165074021e+005, -9.13642005739e+005
+7.51985000000e+003, +1.99953641237e+005, -7.89211434528e+005
+8.76982500000e+003, +1.80042283278e+005, -6.99478622213e+005
+1.00198000000e+004, +1.61523635483e+005, -6.29774262956e+005
+1.12697750000e+004, +1.45973967231e+005, -5.74891447525e+005
+1.25197500000e+004, +1.32230706529e+005, -5.29988859017e+005
+1.37697250000e+004, +1.20171824656e+005, -4.92360953706e+005
+1.50197000000e+004, +1.09390123807e+005, -4.59911561983e+005
+1.62696750000e+004, +1.00336433015e+005, -4.31771390892e+005
+1.75196500000e+004, +9.18441816082e+004, -4.06858092505e+005
+1.87696250000e+004, +8.42031095652e+004, -3.85019980106e+005
+2.00196000000e+004, +7.76168692928e+004, -3.65347462902e+005
+2.12695750000e+004, +7.17354684345e+004, -3.47658887060e+005
+2.25195500000e+004, +6.63093199100e+004, -3.31660767706e+005
+2.37695250000e+004, +6.16065282338e+004, -3.16956282602e+005
+2.50195000000e+004, +5.71647260577e+004, -3.03566139210e+005
+2.62694750000e+004, +5.34147305808e+004, -2.91141747448e+005
+2.75194500000e+004, +4.98988936163e+004, -2.79898242438e+005
+2.87694250000e+004, +4.65675044727e+004, -2.69059710643e+005
+3.00194000000e+004, +4.38007354644e+004, -2.59317894142e+005
+3.12693750000e+004, +4.11219539955e+004, -2.50325870798e+005
+3.25193500000e+004, +3.86748031915e+004, -2.41847047902e+005
+3.37693250000e+004, +3.64578415672e+004, -2.33811674535e+005
+3.50193000000e+004, +3.44717785815e+004, -2.26324572962e+005
+3.62692750000e+004, +3.25847216458e+004, -2.19362337585e+005
+3.75192500000e+004, +3.08789395388e+004, -2.12716435889e+005
+3.87692250000e+004, +2.92718679114e+004, -2.06480960458e+005
+4.00192000000e+004, +2.77948906137e+004, -2.00657197981e+005
+4.12691750000e+004, +2.63265073619e+004, -1.95065250881e+005
+4.25191500000e+004, +2.57657770735e+004, -1.89769918491e+005
+4.37691250000e+004, +2.40742433678e+004, -1.84665973614e+005
+4.50191000000e+004, +2.29390411317e+004, -1.80081486246e+005
+4.62690750000e+004, +2.18949474046e+004, -1.75569556532e+005
+4.75190500000e+004, +2.09870318034e+004, -1.71281765709e+005
+4.87690250000e+004, +2.00050480457e+004, -1.67207563632e+005
+5.00190000000e+004, +1.92629192749e+004, -1.63278009982e+005
+5.12689750000e+004, +1.84810521850e+004, -1.59564802138e+005
+5.25189500000e+004, +1.77796604126e+004, -1.56041250679e+005
+5.37689250000e+004, +1.70780614606e+004, -1.52615467091e+005
+5.50189000000e+004, +1.64261948672e+004, -1.49339200434e+005
+5.62688750000e+004, +1.57621199391e+004, -1.46235399437e+005
+5.75188500000e+004, +1.51888641797e+004, -1.43167444580e+005
+5.87688250000e+004, +1.46822707918e+004, -1.40340213894e+005
+6.00188000000e+004, +1.41930404886e+004, -1.37570856263e+005
+6.12687750000e+004, +1.36782103744e+004, -1.34885253829e+005
+6.25187500000e+004, +1.32134459545e+004, -1.32404038744e+005
+6.37687250000e+004, +1.27869705353e+004, -1.29871119096e+005
+6.50187000000e+004, +1.23820456293e+004, -1.27490582030e+005
+6.62686750000e+004, +1.19725279299e+004, -1.25185752322e+005
+6.75186500000e+004, +1.15987044638e+004, -1.22982240949e+005
+6.87686250000e+004, +1.12745563996e+004, -1.20852768405e+005
+7.00186000000e+004, +1.08955186869e+004, -1.18753808123e+005
+7.12685750000e+004, +1.05882505428e+004, -1.16795201425e+005
+7.25185500000e+004, +1.02931477811e+004, -1.14876595949e+005
+7.37685250000e+004, +9.98105887210e+003, -1.12984801642e+005
+7.50185000000e+004, +9.77361756030e+003, -1.11187654106e+005
+7.62684750000e+004, +9.43177497214e+003, -1.09444761069e+005
+7.75184500000e+004, +9.19237913178e+003, -1.07740927530e+005
+7.87684250000e+004, +8.94317058825e+003, -1.06081790512e+005
+8.00184000000e+004, +8.69627620520e+003, -1.04475665814e+005
+8.12683750000e+004, +8.47381206457e+003, -1.02935496835e+005
+8.25183500000e+004, +8.26967511606e+003, -1.01445411759e+005
+8.37683250000e+004, +8.03154005797e+003, -9.99721922972e+004
+8.50183000000e+004, +7.85487046064e+003, -9.85305780925e+004
+8.62682750000e+004, +7.65890540189e+003, -9.71734582870e+004
+8.75182500000e+004, +7.47883313036e+003, -9.58286899472e+004
+8.87682250000e+004, +7.30558070943e+003, -9.45035457872e+004
+9.00182000000e+004, +7.12165857422e+003, -9.32550266760e+004
+9.12681750000e+004, +6.96204353252e+003, -9.20245936915e+004
