!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Fri Sep 09 10:22:19 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+1.17517650000e+005, +2.74280952442e+003, -7.55966546805e+004
+1.18767625000e+005, +2.71894634939e+003, -7.48249260364e+004
+1.20017600000e+005, +2.72072067431e+003, -7.40767814873e+004
+1.21267575000e+005, +2.65008713133e+003, -7.33116448331e+004
+1.22517550000e+005, +2.61747742922e+003, -7.25588627386e+004
+1.23767525000e+005, +2.57109554875e+003, -7.18593936366e+004
+1.25017500000e+005, +2.54816728641e+003, -7.11252340614e+004
+1.26267475000e+005, +2.53855679288e+003, -7.04361307868e+004
+1.27517450000e+005, +2.40870718666e+003, -6.97504251533e+004
+1.28767425000e+005, +2.50735935815e+003, -6.90890200460e+004
+1.30017400000e+005, +2.44648261423e+003, -6.84507858409e+004
+1.31267375000e+005, +2.41254873873e+003, -6.78295007267e+004
+1.32517350000e+005, +2.37743043712e+003, -6.71764898904e+004
+1.33767325000e+005, +2.36988946039e+003, -6.65712523930e+004
+1.35017300000e+005, +2.34629521682e+003, -6.59706203845e+004
+1.36267275000e+005, +2.31515478274e+003, -6.53749329430e+004
+1.37517250000e+005, +2.23968451167e+003, -6.47680564715e+004
+1.38767225000e+005, +2.25102066330e+003, -6.42249669698e+004
+1.40017200000e+005, +2.23326033624e+003, -6.36396287318e+004
+1.41267175000e+005, +2.19092177212e+003, -6.31111709840e+004
+1.42517150000e+005, +2.10643565943e+003, -6.25932715326e+004
+1.43767125000e+005, +2.17089887171e+003, -6.20105176878e+004
+1.45017100000e+005, +2.12136946566e+003, -6.15118796756e+004
+1.46267075000e+005, +2.10138030770e+003, -6.09842183168e+004
+1.47517050000e+005, +2.07553172442e+003, -6.04616168958e+004
+1.48767025000e+005, +2.06695720901e+003, -5.99728915835e+004
+1.50017000000e+005, +2.05528215624e+003, -5.94800489019e+004
+1.51266975000e+005, +2.03831619615e+003, -5.90006068800e+004
+1.52516950000e+005, +2.03774768319e+003, -5.85316188904e+004
+1.53766925000e+005, +2.00162895627e+003, -5.80461133586e+004
+1.55016900000e+005, +1.98379916542e+003, -5.75985559942e+004
+1.56266875000e+005, +1.95762562085e+003, -5.71507716302e+004
+1.57516850000e+005, +1.96934791341e+003, -5.66581961978e+004
+1.58766825000e+005, +1.90828344056e+003, -5.62628279201e+004
+1.60016800000e+005, +1.88284269994e+003, -5.58277689638e+004
+1.61266775000e+005, +1.90143802296e+003, -5.53823078534e+004
+1.62516750000e+005, +1.81748380205e+003, -5.49758752048e+004
+1.63766725000e+005, +1.90099530111e+003, -5.45424939867e+004
+1.65016700000e+005, +1.83537034673e+003, -5.41838024726e+004
+1.66266675000e+005, +1.79683623155e+003, -5.37641583947e+004
+1.67516650000e+005, +1.78452623716e+003, -5.32723470160e+004
+1.68766625000e+005, +1.79518639433e+003, -5.29736298644e+004
+1.70016600000e+005, +1.74931636203e+003, -5.25703186682e+004
+1.71266575000e+005, +1.76128657101e+003, -5.22441204587e+004
+1.72516550000e+005, +1.78096636878e+003, -5.18467015798e+004
+1.73766525000e+005, +1.71294858832e+003, -5.14911934995e+004
+1.75016500000e+005, +1.71620187758e+003, -5.11328354599e+004
+1.76266475000e+005, +1.68658264086e+003, -5.07291207328e+004
+1.77516450000e+005, +1.68997575052e+003, -5.03931795273e+004
+1.78766425000e+005, +1.66181257047e+003, -5.00676824205e+004
+1.80016400000e+005, +1.65294146016e+003, -4.97103243592e+004
+1.81266375000e+005, +1.64635088938e+003, -4.93892853420e+004
+1.82516350000e+005, +1.61063650110e+003, -4.90550843502e+004
+1.83766325000e+005, +1.59460798791e+003, -4.87329434589e+004
+1.85016300000e+005, +1.59675569193e+003, -4.84008865268e+004
+1.86266275000e+005, +1.58439004268e+003, -4.80892701359e+004
+1.87516250000e+005, +1.58350956967e+003, -4.77587804705e+004
+1.88766225000e+005, +1.56254830889e+003, -4.74629422620e+004
+1.90016200000e+005, +1.64622605911e+003, -4.70640077789e+004
