!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Wed Oct 12 10:17:16 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+1.17517650000e+005, +2.85473795259e+003, -1.01122230259e+005
+1.18767625000e+005, +2.82632217612e+003, -1.00074768649e+005
+1.20017600000e+005, +2.78143637553e+003, -9.90387180054e+004
+1.21267575000e+005, +2.76878255864e+003, -9.80522093833e+004
+1.22517550000e+005, +2.73037349999e+003, -9.70646845152e+004
+1.23767525000e+005, +2.71339318786e+003, -9.61013856814e+004
+1.25017500000e+005, +2.72202953572e+003, -9.51395978124e+004
+1.26267475000e+005, +2.67332332639e+003, -9.42105097112e+004
+1.27517450000e+005, +2.60477643715e+003, -9.33184984426e+004
+1.28767425000e+005, +2.59930013770e+003, -9.24307540396e+004
+1.30017400000e+005, +2.56851402922e+003, -9.15654351234e+004
+1.31267375000e+005, +2.55861977512e+003, -9.06991445403e+004
+1.32517350000e+005, +2.52698454249e+003, -8.98641512893e+004
+1.33767325000e+005, +2.51015934669e+003, -8.90331339495e+004
+1.35017300000e+005, +2.48775694507e+003, -8.82387014822e+004
+1.36267275000e+005, +2.46270855367e+003, -8.74333597313e+004
+1.37517250000e+005, +2.44369349214e+003, -8.66647896323e+004
+1.38767225000e+005, +2.42162196745e+003, -8.58875349082e+004
+1.40017200000e+005, +2.40010424606e+003, -8.51315696293e+004
+1.41267175000e+005, +2.38294281101e+003, -8.43873176144e+004
+1.42517150000e+005, +2.33507332611e+003, -8.36671223552e+004
+1.43767125000e+005, +2.32039811959e+003, -8.29501890126e+004
+1.45017100000e+005, +2.31101302724e+003, -8.22388023191e+004
+1.46267075000e+005, +2.29768596477e+003, -8.15583885270e+004
+1.47517050000e+005, +2.27623976268e+003, -8.08749818797e+004
+1.48767025000e+005, +2.26290867664e+003, -8.02113453246e+004
+1.50017000000e+005, +2.24396490419e+003, -7.95650438128e+004
+1.51266975000e+005, +2.22735069435e+003, -7.89155073718e+004
+1.52516950000e+005, +2.20481864112e+003, -7.82721007730e+004
+1.53766925000e+005, +2.18573149424e+003, -7.76496340194e+004
+1.55016900000e+005, +2.18273951448e+003, -7.70309047222e+004
+1.56266875000e+005, +2.15554731942e+003, -7.64317352571e+004
+1.57516850000e+005, +2.13095388091e+003, -7.58369260987e+004
+1.58766825000e+005, +2.12653176147e+003, -7.52485470342e+004
+1.60016800000e+005, +2.10660988739e+003, -7.46720252884e+004
+1.61266775000e+005, +2.08181263184e+003, -7.41034986177e+004
+1.62516750000e+005, +2.07229389211e+003, -7.35389873427e+004
+1.63766725000e+005, +2.05574829643e+003, -7.29815418674e+004
+1.65016700000e+005, +2.04924803147e+003, -7.24539887932e+004
+1.66266675000e+005, +2.02199916361e+003, -7.19139243100e+004
+1.67516650000e+005, +2.01238649254e+003, -7.13922201756e+004
+1.68766625000e+005, +2.00713451133e+003, -7.08651077521e+004
+1.70016600000e+005, +1.98347658403e+003, -7.03618709389e+004
+1.71266575000e+005, +1.96056362743e+003, -6.98432258328e+004
+1.72516550000e+005, +1.97033344028e+003, -6.93836513471e+004
+1.73766525000e+005, +1.96257381612e+003, -6.88389452886e+004
+1.75016500000e+005, +1.93337738945e+003, -6.83741396999e+004
+1.76266475000e+005, +1.91826708908e+003, -6.79053128132e+004
+1.77516450000e+005, +1.90598527625e+003, -6.74294860126e+004
+1.78766425000e+005, +1.87092831357e+003, -6.69932136267e+004
+1.80016400000e+005, +1.88705482571e+003, -6.65127543815e+004
+1.81266375000e+005, +1.86669900318e+003, -6.60642919852e+004
+1.82516350000e+005, +1.84925113986e+003, -6.56141636349e+004
+1.83766325000e+005, +1.84057365132e+003, -6.51740530581e+004
+1.85016300000e+005, +1.83833792797e+003, -6.47512287274e+004
+1.86266275000e+005, +1.80566222534e+003, -6.43484646034e+004
+1.87516250000e+005, +1.80779592676e+003, -6.38975943008e+004
+1.88766225000e+005, +1.79317255832e+003, -6.34798972619e+004
+1.90016200000e+005, +1.77583745002e+003, -6.30765539291e+004
+1.91266175000e+005, +1.77096186194e+003, -6.26657777673e+004
+1.92516150000e+005, +1.76821304863e+003, -6.22646880698e+004
+1.93766125000e+005, +1.75076453645e+003, -6.18635635452e+004
+1.95016100000e+005, +1.74276253328e+003, -6.14897089185e+004
+1.96266075000e+005, +1.72528219106e+003, -6.11002452309e+004
+1.97516050000e+005, +1.71532038036e+003, -6.07144257129e+004
+1.98766025000e+005, +1.70770498773e+003, -6.03380315401e+004
+2.00016000000e+005, +1.69026114732e+003, -5.99707181014e+004
+2.01265975000e+005, +1.68045763980e+003, -5.96013957027e+004
+2.02515950000e+005, +1.67215331484e+003, -5.92337671324e+004
+2.03765925000e+005, +1.65938710807e+003, -5.88783792045e+004
+2.05015900000e+005, +1.64638953664e+003, -5.85275252495e+004
+2.06265875000e+005, +1.63892957694e+003, -5.81748731610e+004
+2.07515850000e+005, +1.63449522554e+003, -5.78351931972e+004
+2.08765825000e+005, +1.61573618834e+003, -5.74989713017e+004
+2.10015800000e+005, +1.61414379176e+003, -5.71602751126e+004
+2.11265775000e+005, +1.60003404640e+003, -5.68312840972e+004
+2.12515750000e+005, +1.59439313785e+003, -5.64988095891e+004
+2.13765725000e+005, +1.58457934989e+003, -5.61751941972e+004
+2.15015700000e+005, +1.56604108732e+003, -5.58448212460e+004
+2.16265675000e+005, +1.56656764451e+003, -5.55354230640e+004
+2.17515650000e+005, +1.55492871523e+003, -5.52244145503e+004
+2.18765625000e+005, +1.54443221224e+003, -5.49133309095e+004
+2.20015600000e+005, +1.54005622022e+003, -5.46090711374e+004
+2.21265575000e+005, +1.53184503177e+003, -5.43013747928e+004
+2.22515550000e+005, +1.51904644707e+003, -5.40082439795e+004
+2.23765525000e+005, +1.51651971970e+003, -5.37102331192e+004
+2.25015500000e+005, +1.50427469917e+003, -5.34200118702e+004
+2.26265475000e+005, +1.49301740060e+003, -5.31276504853e+004
+2.27515450000e+005, +1.48901362166e+003, -5.28385163448e+004
+2.28765425000e+005, +1.47729520992e+003, -5.25569137889e+004
+2.30015400000e+005, +1.47029819422e+003, -5.22773703978e+004
+2.31265375000e+005, +1.46614370848e+003, -5.19961214849e+004
+2.32515350000e+005, +1.45469325971e+003, -5.17235658969e+004
+2.33765325000e+005, +1.44987975577e+003, -5.14519529500e+004
+2.35015300000e+005, +1.43632310215e+003, -5.11858552258e+004
+2.36265275000e+005, +1.43653791261e+003, -5.09175980524e+004
+2.37515250000e+005, +1.42606757891e+003, -5.06560234549e+004
+2.38765225000e+005, +1.41972343385e+003, -5.03980107737e+004
+2.40015200000e+005, +1.40758966808e+003, -5.01340585540e+004
+2.41265175000e+005, +1.41559587171e+003, -4.98858138951e+004
+2.42515150000e+005, +1.40439924544e+003, -4.96238589831e+004
+2.43765125000e+005, +1.39505001573e+003, -4.93796442106e+004
+2.45015100000e+005, +1.38745750537e+003, -4.91314073520e+004
+2.46265075000e+005, +1.38192924238e+003, -4.88917163189e+004
+2.47515050000e+005, +1.37690336855e+003, -4.86439200136e+004
+2.48765025000e+005, +1.37112546840e+003, -4.84046242301e+004
+2.50015000000e+005, +1.36065636053e+003, -4.81666679034e+004
+2.51264975000e+005, +1.35365245142e+003, -4.79368292314e+004
+2.52514950000e+005, +1.34924646498e+003, -4.77053793734e+004
+2.53764925000e+005, +1.34687899169e+003, -4.74655734763e+004
+2.55014900000e+005, +1.33590533477e+003, -4.72298699474e+004
+2.56264875000e+005, +1.33054071131e+003, -4.70142180612e+004
+2.57514850000e+005, +1.32378963139e+003, -4.67919897422e+004
+2.58764825000e+005, +1.31874862322e+003, -4.65658449410e+004
+2.60014800000e+005, +1.31437852495e+003, -4.63512261309e+004
+2.61264775000e+005, +1.30732468065e+003, -4.61299227113e+004
+2.62514750000e+005, +1.30705112179e+003, -4.59139579809e+004
+2.63764725000e+005, +1.29717481476e+003, -4.56982882869e+004
+2.65014700000e+005, +1.29283179615e+003, -4.54866520628e+004
+2.66264675000e+005, +1.28266265707e+003, -4.52776329416e+004
+2.67514650000e+005, +1.27774192076e+003, -4.50717356221e+004
+2.68764625000e+005, +1.26964327296e+003, -4.48631557455e+004
+2.70014600000e+005, +1.26603938349e+003, -4.46639307724e+004
+2.71264575000e+005, +1.25982614230e+003, -4.44573476658e+004
+2.72514550000e+005, +1.25437206095e+003, -4.42572304652e+004
+2.73764525000e+005, +1.24644562975e+003, -4.40585552846e+004
+2.75014500000e+005, +1.24121164928e+003, -4.38650760901e+004
+2.76264475000e+005, +1.23627291645e+003, -4.36634876854e+004
+2.77514450000e+005, +1.23180058518e+003, -4.34762786203e+004
+2.78764425000e+005, +1.22965610482e+003, -4.32799619702e+004
+2.80014400000e+005, +1.21912909396e+003, -4.30899153211e+004
+2.81264375000e+005, +1.21024877495e+003, -4.29075417770e+004
+2.82514350000e+005, +1.21111090037e+003, -4.27194334711e+004
+2.83764325000e+005, +1.20935627621e+003, -4.25308550607e+004
