Created: Mar 25, 2019  19:15:54
AIM version 912 // ID = 190216155237
"03-25-19_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  9.663479,  54.876339,  -145.901826,  155.880581,  -69.387925,  0.812444,  1.804132,  66.006518
 0.105000,  9.617217,  50.366667,  -139.443231,  148.260635,  -70.140486,  0.811627,  1.812873,  65.873794
 0.110000,  9.672470,  45.435082,  -132.830701,  140.386402,  -71.116740,  0.812602,  1.802443,  66.032194
 0.115000,  9.466625,  41.561471,  -125.157911,  131.878195,  -71.630230,  0.808916,  1.841927,  65.434580
 0.120000,  9.076984,  38.773302,  -117.505077,  123.736866,  -71.738719,  0.801528,  1.921627,  64.244700
 0.125000,  8.459527,  37.145155,  -109.778437,  115.892483,  -71.306117,  0.788573,  2.063163,  62.184727
 0.130000,  7.930778,  35.913420,  -103.333013,  109.396002,  -70.835213,  0.776055,  2.202146,  60.226188
 0.135000,  7.220409,  35.022496,  -95.706773,  101.913501,  -69.900761,  0.756703,  2.421490,  57.259959
 0.140000,  6.201117,  36.192774,  -87.770662,  94.940013,  -67.591014,  0.722265,  2.826065,  52.166718
 0.145000,  5.192132,  39.758914,  -81.386624,  90.578993,  -63.963723,  0.677009,  3.388105,  45.834185
 0.150000,  4.407200,  51.039689,  -81.982347,  96.572020,  -58.094978,  0.630123,  4.011496,  39.705475
 0.155000,  4.595390,  45.541683,  -79.909691,  91.976104,  -60.320668,  0.642563,  3.841688,  41.288703
 0.160000,  4.801110,  42.101013,  -79.199344,  89.694099,  -62.005763,  0.655238,  3.672013,  42.933739
 0.165000,  4.466864,  39.153281,  -71.762820,  81.748894,  -61.383542,  0.634160,  3.956030,  40.215829
 0.170000,  3.615982,  43.031474,  -63.429969,  76.648997,  -55.846769,  0.566723,  4.932588,  32.117462
 0.175000,  3.227604,  48.817761,  -61.247858,  78.322882,  -51.443404,  0.526919,  5.565126,  27.764341
 0.180000,  3.111392,  49.439820,  -59.510782,  77.368139,  -50.281276,  0.513547,  5.788401,  26.373022
 0.185000,  2.686196,  52.986894,  -52.870875,  74.852791,  -44.937283,  0.457435,  6.793407,  20.924701
 0.190000,  2.426301,  62.488557,  -49.635838,  79.803109,  -38.460845,  0.416280,  7.612286,  17.328918
 0.195000,  2.487660,  69.446237,  -52.066938,  86.797154,  -36.860594,  0.426550,  7.400609,  18.194457
 0.200000,  2.490785,  77.339811,  -51.989571,  93.189924,  -33.909947,  0.427063,  7.390161,  18.238282
 0.205000,  2.800659,  88.160617,  -60.390600,  106.861214,  -34.411459,  0.473776,  6.488548,  22.446324
 0.210000,  3.288652,  92.256725,  -74.574551,  118.628272,  -38.949970,  0.533653,  5.454820,  28.478556
 0.215000,  3.877435,  85.300061,  -88.662993,  123.033438,  -46.107545,  0.589948,  4.583719,  34.803912
 0.220000,  4.216323,  73.871178,  -92.153672,  118.106944,  -51.284126,  0.616588,  4.200097,  38.018092
 0.225000,  4.219589,  69.173043,  -90.160116,  113.638710,  -52.503791,  0.616828,  4.196717,  38.047687
 0.230000,  4.337535,  68.455955,  -91.920604,  114.610711,  -53.323963,  0.625295,  4.078298,  39.099405
