Created: Apr 1, 2019  09:16:45
AIM version 912 // ID = 190216155237
"04-01-19_2.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.375000,  10.824200,  12.434922,  -64.286211,  65.477815,  -79.052580,  0.830855,  1.609491,  69.032063
 0.380000,  10.198020,  12.857567,  -62.879317,  64.180414,  -78.443603,  0.821397,  1.708938,  67.469302
 0.385000,  9.638582,  13.255995,  -61.493850,  62.906399,  -77.835253,  0.812005,  1.808826,  65.935215
 0.390000,  9.111959,  13.653342,  -60.074462,  61.606450,  -77.195819,  0.802214,  1.914191,  64.354793
 0.395000,  8.592476,  14.094035,  -58.638770,  60.308765,  -76.485250,  0.791503,  2.030946,  62.647742
 0.400000,  7.972876,  14.678117,  -56.814991,  58.680408,  -75.514538,  0.777106,  2.190395,  60.389376
 0.405000,  7.032818,  16.069694,  -54.834066,  57.140264,  -73.666357,  0.751021,  2.486954,  56.403312
 0.410000,  6.024377,  18.341934,  -53.298597,  56.366364,  -71.009970,  0.715277,  2.910512,  51.162151
 0.415000,  5.228304,  21.181090,  -52.829741,  56.917661,  -68.152732,  0.678885,  3.364072,  46.088521
 0.420000,  4.800816,  23.794400,  -53.789125,  58.817033,  -66.137218,  0.655221,  3.672245,  42.931448
 0.425000,  4.662684,  25.377969,  -55.177621,  60.733938,  -65.300887,  0.646811,  3.784458,  41.836392
 0.430000,  4.607997,  26.667195,  -56.765623,  62.717424,  -64.837047,  0.643366,  3.830832,  41.392035
 0.435000,  4.642292,  27.517847,  -58.535837,  64.681343,  -64.821776,  0.645534,  3.801616,  41.671429
 0.440000,  4.731274,  28.183390,  -60.586342,  66.820718,  -65.053335,  0.651037,  3.727881,  42.384975
 0.445000,  4.973093,  28.392694,  -63.555435,  69.609184,  -65.927935,  0.665165,  3.541411,  44.244460
 0.450000,  5.419395,  26.911648,  -65.698525,  70.996712,  -67.724968,  0.688444,  3.242625,  47.395538
 0.455000,  6.482182,  23.706711,  -69.313877,  73.255865,  -71.118427,  0.732698,  2.701496,  53.684681
 0.460000,  7.720842,  19.710793,  -69.629932,  72.366033,  -74.194410,  0.770664,  2.262695,  59.392354
 0.465000,  8.843719,  16.714522,  -68.600662,  70.607550,  -76.306848,  0.796825,  1.972744,  63.492968
 0.470000,  9.915235,  14.500471,  -67.465823,  69.006528,  -77.870056,  0.816770,  1.758006,  66.711301
 0.475000,  11.024850,  12.666891,  -66.177984,  67.379342,  -79.164417,  0.833678,  1.580036,  69.501860
 0.480000,  12.165186,  11.111188,  -64.658279,  65.606033,  -80.249398,  0.848084,  1.431221,  71.924679
 0.485000,  12.862831,  10.181885,  -63.121324,  63.937253,  -80.836886,  0.855729,  1.353272,  73.227268
 0.490000,  13.404550,  9.512484,  -61.810384,  62.538076,  -81.251088,  0.861155,  1.298374,  74.158791
 0.495000,  14.141202,  8.789614,  -60.569022,  61.203462,  -81.743173,  0.867910,  1.230505,  75.326793
 0.500000,  14.918238,  8.144155,  -59.462513,  60.017645,  -82.201276,  0.874358,  1.166215,  76.450183
 0.505000,  15.523908,  7.640717,  -58.283086,  58.781789,  -82.531453,  0.878963,  1.120586,  77.257641
 0.510000,  16.065790,  7.214135,  -57.144089,  57.597662,  -82.804924,  0.882806,  1.082690,  77.934728
 0.515000,  16.467841,  6.876990,  -56.000415,  56.421090,  -82.999133,  0.885504,  1.056191,  78.411713
 0.520000,  16.572996,  6.686864,  -54.922930,  55.328496,  -83.058552,  0.886189,  1.049473,  78.533097
 0.525000,  16.664196,  6.519218,  -53.934556,  54.327125,  -83.108083,  0.886777,  1.043715,  78.637277
 0.530000,  16.901852,  6.304948,  -52.982673,  53.356500,  -83.213852,  0.888280,  1.029005,  78.904085
 0.535000,  17.129578,  6.115230,  -52.134625,  52.492049,  -83.310099,  0.889683,  1.015294,  79.153591
