Created: Mar 28, 2019  09:46:25
AIM version 912 // ID = 190216155237
"03-28-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  48.428217,  16.086953,  -190.291728,  190.970500,  -85.167947,  0.959537,  0.358763,  92.071180
 0.105000,  44.471698,  15.469326,  -177.975990,  178.647007,  -85.032596,  0.956017,  0.390691,  91.396773
 0.110000,  36.239798,  16.946456,  -167.161617,  168.018417,  -84.211412,  0.946294,  0.479478,  89.547236
 0.115000,  33.000009,  16.924596,  -158.634147,  159.534431,  -83.910326,  0.941176,  0.526579,  88.581318
 0.120000,  28.038571,  17.837640,  -149.066176,  150.129632,  -83.176433,  0.931126,  0.619830,  86.699579
 0.125000,  25.763240,  17.303548,  -139.728100,  140.795436,  -82.940732,  0.925271,  0.674624,  85.612574
 0.130000,  23.311867,  16.843464,  -129.942501,  131.029599,  -82.614507,  0.917736,  0.745648,  84.223872
 0.135000,  17.266596,  18.953536,  -116.442264,  117.974732,  -80.755075,  0.890511,  1.007219,  79.300900
 0.140000,  9.490172,  27.604478,  -99.909923,  103.653268,  -74.554992,  0.809345,  1.837322,  65.503991
 0.145000,  5.097340,  57.048047,  -96.668360,  112.246387,  -59.453470,  0.671988,  3.452768,  45.156804
 0.150000,  6.800942,  67.370950,  -127.928715,  144.584235,  -62.227525,  0.743621,  2.572971,  55.297174
 0.155000,  12.350241,  35.325196,  -134.940283,  139.487452,  -75.330218,  0.850190,  1.409680,  72.282299
 0.160000,  15.086060,  22.453572,  -118.351393,  120.462505,  -79.257682,  0.875669,  1.153203,  76.679576
 0.165000,  13.110801,  20.058562,  -101.603844,  103.564893,  -78.832451,  0.858265,  1.327576,  73.661813
 0.170000,  8.570746,  23.473685,  -84.529740,  87.728506,  -74.480298,  0.791030,  2.036142,  62.572828
 0.175000,  4.060832,  37.968686,  -65.077643,  75.344016,  -59.739249,  0.604808,  4.367649,  36.579275
 0.180000,  2.953397,  72.556183,  -64.639878,  97.173626,  -41.697730,  0.494106,  6.123597,  24.414075
 0.185000,  4.465352,  71.055719,  -95.452391,  118.996110,  -53.335726,  0.634058,  3.957416,  40.202998
 0.190000,  4.481454,  61.001817,  -90.156656,  108.855153,  -55.917021,  0.635133,  3.942702,  40.339430
 0.195000,  3.796720,  68.797614,  -82.055871,  107.080706,  -50.022811,  0.583048,  4.685908,  33.994546
 0.200000,  3.960218,  82.742099,  -89.901332,  122.182259,  -47.374682,  0.596792,  4.483541,  35.616062
 0.205000,  4.608069,  80.664406,  -102.244132,  130.232902,  -51.728797,  0.643371,  3.830770,  41.392625
 0.210000,  4.917971,  73.828281,  -104.662554,  128.081479,  -54.801204,  0.662046,  3.582232,  43.830537
 0.215000,  4.622864,  80.437197,  -102.432238,  130.240186,  -51.858526,  0.644309,  3.818111,  41.513461
 0.220000,  5.295276,  85.575442,  -116.799646,  144.794039,  -53.771029,  0.682301,  3.320474,  46.553526
 0.225000,  6.489606,  77.068043,  -131.001371,  151.989613,  -59.531826,  0.732963,  2.698356,  53.723513
 0.230000,  7.900747,  61.519139,  -135.672688,  148.968731,  -65.608774,  0.775300,  2.210607,  60.108972
 0.235000,  8.635046,  52.035475,  -132.514337,  142.364814,  -68.561272,  0.792424,  2.020843,  62.793651
 0.240000,  9.326112,  46.218628,  -131.010062,  138.923712,  -70.567952,  0.806316,  1.869892,  65.014592
 0.245000,  10.142877,  41.329242,  -130.213285,  136.614808,  -72.390871,  0.820513,  1.718289,  67.324181
 0.250000,  12.455175,  32.667911,  -130.031448,  134.072256,  -75.897535,  0.851358,  1.397752,  72.481098
 0.255000,  14.854133,  24.839178,  -124.156546,  126.616874,  -78.686714,  0.873850,  1.171263,  76.361370
 0.260000,  15.620709,  21.488843,  -117.858224,  119.801216,  -79.667025,  0.879668,  1.113622,  77.381613
 0.265000,  16.136608,  19.311662,  -112.996165,  114.634522,  -80.301681,  0.883291,  1.077926,  78.020261
 0.270000,  16.424519,  17.787510,  -108.836199,  110.280160,  -80.718139,  0.885219,  1.058983,  78.361305
 0.275000,  16.385918,  16.853141,  -105.238332,  106.579242,  -80.901898,  0.884964,  1.061484,  78.316194
