Created: Mar 25, 2019  13:09:22
AIM version 912 // ID = 190216155237
"03-25-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.375000,  3.671353,  27.308162,  -46.250061,  53.710370,  -59.440548,  0.571859,  4.854228,  32.702216
 0.380000,  3.613935,  26.993178,  -44.971189,  52.450352,  -59.026545,  0.566531,  4.935533,  32.095686
 0.385000,  3.526100,  26.951591,  -43.674763,  51.321274,  -58.321467,  0.558118,  5.065472,  31.149624
 0.390000,  3.425593,  27.056968,  -42.392837,  50.291472,  -57.452296,  0.548083,  5.223070,  30.039518
 0.395000,  3.331863,  27.205251,  -41.235207,  49.401093,  -56.584954,  0.538305,  5.379433,  28.977220
 0.400000,  3.231833,  27.450413,  -40.086412,  48.584417,  -55.597496,  0.527392,  5.557336,  27.814187
 0.405000,  3.107008,  27.944545,  -38.858728,  47.863330,  -54.278984,  0.513028,  5.797187,  26.319723
 0.410000,  2.954666,  28.752313,  -37.517144,  47.267659,  -52.534332,  0.494268,  6.120745,  24.430112
 0.415000,  2.793713,  29.969627,  -36.394015,  47.145550,  -50.529426,  0.472812,  6.506231,  22.355116
 0.420000,  2.629898,  31.737841,  -35.629731,  47.715493,  -48.306442,  0.449020,  6.954681,  20.161922
 0.425000,  2.502843,  33.721602,  -35.447337,  48.925046,  -46.429290,  0.429035,  7.350140,  18.407126
 0.430000,  2.425330,  35.831560,  -36.054987,  50.831711,  -45.178157,  0.416115,  7.615739,  17.315144
 0.435000,  2.411561,  37.790187,  -37.577788,  53.293418,  -44.838610,  0.413758,  7.665070,  17.119577
 0.440000,  2.474018,  39.068542,  -39.950460,  55.878352,  -45.639522,  0.424298,  7.446586,  18.002854
 0.445000,  2.614764,  39.110072,  -42.795482,  57.974572,  -47.576418,  0.446714,  6.999417,  19.955303
 0.450000,  2.790713,  38.028976,  -45.183446,  59.057149,  -49.914201,  0.472395,  6.513898,  22.315683
 0.455000,  2.971116,  36.409441,  -46.860536,  59.342710,  -52.153796,  0.496363,  6.084007,  24.637649
 0.460000,  3.140771,  34.529307,  -47.747821,  58.924761,  -54.127151,  0.516998,  5.730220,  26.728713
 0.465000,  3.299097,  32.705760,  -48.176602,  58.229303,  -55.828602,  0.534786,  5.436398,  28.599613
 0.470000,  3.441072,  31.071136,  -48.290369,  57.422776,  -57.241938,  0.549658,  5.198145,  30.212421
 0.475000,  3.564060,  29.738870,  -48.294523,  56.716500,  -58.376113,  0.561794,  5.008463,  31.561217
 0.480000,  3.680289,  28.439365,  -48.071102,  55.853633,  -59.391102,  0.572676,  4.841821,  32.795776
 0.485000,  3.792179,  27.257064,  -47.797704,  55.023341,  -60.305772,  0.582653,  4.691796,  33.948485
 0.490000,  3.892813,  26.211338,  -47.449140,  54.207519,  -61.083446,  0.591237,  4.564765,  34.956142
 0.495000,  3.993689,  25.181981,  -47.006275,  53.326561,  -61.821473,  0.599494,  4.444296,  35.939362
 0.500000,  4.062795,  24.395786,  -46.484771,  52.497508,  -62.309062,  0.604961,  4.365448,  36.597820
 0.505000,  4.170602,  23.450357,  -46.057839,  51.684077,  -63.017183,  0.613198,  4.247988,  37.601158
 0.510000,  4.259917,  22.638388,  -45.553262,  50.868421,  -63.574332,  0.619766,  4.155447,  38.410969
 0.515000,  4.345022,  21.917964,  -45.094610,  50.139016,  -64.078322,  0.625820,  4.071010,  39.165075
 0.520000,  4.406270,  21.293844,  -44.491854,  49.324972,  -64.424292,  0.630059,  4.012373,  39.697460
 0.525000,  4.499181,  20.558751,  -43.939588,  48.511335,  -64.925843,  0.636310,  3.926632,  40.488978
 0.530000,  4.562180,  20.020372,  -43.421518,  47.814679,  -65.247091,  0.640429,  3.870584,  41.014897
 0.535000,  4.627523,  19.442357,  -42.785112,  46.995437,  -65.562177,  0.644604,  3.814142,  41.551414
 0.540000,  4.713824,  18.833518,  -42.236973,  46.245684,  -65.967965,  0.649972,  3.742111,  42.246322
 0.545000,  4.766920,  18.343934,  -41.570570,  45.438004,  -66.189584,  0.653194,  3.699150,  42.666298
 0.550000,  4.790647,  17.973844,  -40.863814,  44.642025,  -66.257945,  0.654615,  3.680275,  42.852140
 0.555000,  4.826054,  17.580292,  -40.190101,  43.866968,  -66.374182,  0.656714,  3.652469,  43.127387
 0.560000,  4.841491,  17.282813,  -39.541372,  43.153397,  -66.390855,  0.657622,  3.640478,  43.246626
 0.565000,  4.850868,  17.046619,  -38.982874,  42.547052,  -66.381087,  0.658170,  3.633234,  43.318823
 0.570000,  4.850180,  16.853486,  -38.429452,  41.962636,  -66.319951,  0.658130,  3.633764,  43.313533
 0.575000,  4.837199,  16.720998,  -37.912870,  41.436427,  -66.200838,  0.657370,  3.643803,  43.213522
 0.580000,  4.867797,  16.466701,  -37.494203,  40.950793,  -66.289999,  0.659157,  3.620228,  43.448743
 0.585000,  4.898639,  16.193307,  -37.004307,  40.392350,  -66.365640,  0.660939,  3.596776,  43.684000
 0.590000,  4.924903,  15.894396,  -36.368305,  39.689865,  -66.392875,  0.662442,  3.577046,  43.882904
 0.595000,  4.933122,  15.691783,  -35.822995,  39.109066,  -66.344938,  0.662909,  3.570917,  43.944879
 0.600000,  4.923934,  15.531111,  -35.216519,  38.489201,  -66.201785,  0.662387,  3.577770,  43.875590
 0.605000,  4.890103,  15.456959,  -34.618380,  37.912396,  -65.939557,  0.660447,  3.603235,  43.619076
 0.610000,  4.862172,  15.378142,  -34.061889,  37.372443,  -65.702058,  0.658830,  3.624539,  43.405638
 0.615000,  4.787263,  15.460875,  -33.514237,  36.908572,  -65.235170,  0.654413,  3.682955,  42.825698
 0.620000,  4.726709,  15.501063,  -32.971816,  36.433825,  -64.820456,  0.650759,  3.731593,  42.348761
 0.625000,  4.647712,  15.630075,  -32.496977,  36.060404,  -64.313949,  0.645874,  3.797040,  41.715364
 0.630000,  4.562143,  15.785854,  -32.010661,  35.691394,  -63.750194,  0.640426,  3.870616,  41.014595
 0.635000,  4.459516,  16.052127,  -31.647137,  35.485378,  -63.104981,  0.633667,  3.962776,  40.153408
