Created: Mar 25, 2019  21:12:02
AIM version 912 // ID = 190216155237
"03-25-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  10.862631,  51.418253,  -151.722491,  160.198474,  -71.278774,  0.831403,  1.603765,  69.123151
 0.105000,  10.929845,  46.724367,  -145.138153,  152.473768,  -72.155187,  0.832353,  1.593847,  69.281189
 0.110000,  10.892811,  42.156519,  -137.391713,  143.713795,  -72.942307,  0.831831,  1.599296,  69.194310
 0.115000,  10.597301,  38.615637,  -129.043032,  134.696962,  -73.340516,  0.827546,  1.644156,  68.483251
 0.120000,  10.151133,  36.064872,  -121.169015,  126.422329,  -73.424963,  0.820646,  1.716883,  67.345990
 0.125000,  9.444811,  34.561148,  -113.179798,  118.339088,  -73.019292,  0.808517,  1.846213,  65.370033
 0.130000,  8.670581,  33.877356,  -105.992925,  111.275224,  -72.275258,  0.793187,  2.012486,  62.914591
 0.135000,  7.859274,  33.464231,  -98.708004,  104.226316,  -71.272312,  0.774248,  2.222400,  59.945977
 0.140000,  6.705487,  34.475439,  -90.151226,  96.518389,  -69.072374,  0.740445,  2.610147,  54.825836
 0.145000,  5.430830,  39.601389,  -83.962785,  92.833288,  -64.749015,  0.688998,  3.235639,  47.471849
 0.150000,  4.970918,  43.364269,  -82.666383,  93.349830,  -62.319973,  0.665043,  3.543004,  44.228236
 0.155000,  4.803266,  45.240784,  -82.397727,  94.000606,  -61.230953,  0.655366,  3.670315,  42.950523
 0.160000,  4.930508,  43.070910,  -81.851997,  92.492446,  -62.246551,  0.662761,  3.572864,  43.925182
 0.165000,  4.770421,  39.355649,  -75.833901,  85.437975,  -62.572074,  0.653405,  3.696353,  42.693789
 0.170000,  3.894181,  41.663349,  -66.417922,  78.403922,  -57.900432,  0.591351,  4.563087,  34.969654
 0.175000,  3.277727,  50.268459,  -63.073087,  80.654401,  -51.445684,  0.532462,  5.474229,  28.351572
 0.180000,  3.335147,  51.947414,  -65.137298,  83.315073,  -51.427505,  0.538655,  5.373791,  29.014885
 0.185000,  3.036875,  51.277075,  -59.169299,  78.296515,  -49.087353,  0.504567,  5.941618,  25.458814
