Created: Mar 25, 2019  17:17:56
AIM version 912 // ID = 190216155237
"03-25-19_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.100000,  7.996411,  60.616141,  -135.795002,  148.709781,  -65.945098,  0.777689,  2.183880,  60.480036
 0.105000,  7.857426,  55.225088,  -128.444395,  139.813351,  -66.734672,  0.774201,  2.222928,  59.938684
 0.110000,  7.692178,  52.048514,  -123.075571,  133.628755,  -67.076673,  0.769908,  2.271222,  59.275846
 0.115000,  7.574011,  47.617860,  -116.532400,  125.885904,  -67.774048,  0.766737,  2.307072,  58.788556
 0.120000,  7.209476,  44.967798,  -109.542120,  118.412749,  -67.681630,  0.756379,  2.425210,  57.210933
 0.125000,  6.965379,  42.375669,  -103.762326,  112.081746,  -67.785424,  0.748913,  2.511368,  56.087127
 0.130000,  6.629384,  39.830557,  -97.038849,  104.895240,  -67.683934,  0.737856,  2.640572,  54.443093
 0.135000,  5.941997,  39.292170,  -89.221379,  97.490149,  -66.231921,  0.711898,  2.951639,  50.679943
 0.140000,  5.092365,  41.247548,  -81.890249,  91.691728,  -63.266034,  0.671720,  3.456231,  45.120813
 0.145000,  4.510933,  45.543418,  -78.757691,  90.977892,  -59.960485,  0.637085,  3.916052,  40.587735
 0.150000,  4.428626,  46.554143,  -78.529366,  91.291564,  -59.339597,  0.631583,  3.991396,  39.889666
 0.155000,  4.495806,  44.181736,  -77.272022,  89.011186,  -60.240528,  0.636086,  3.929682,  40.460554
 0.160000,  4.452134,  40.253481,  -72.749029,  83.143033,  -61.043481,  0.633171,  3.969578,  40.090571
 0.165000,  3.890761,  39.451842,  -64.229517,  75.378238,  -58.440514,  0.591066,  4.567285,  34.935867
 0.170000,  3.259557,  43.045123,  -57.643826,  71.942292,  -53.249815,  0.530468,  5.506822,  28.139592
 0.175000,  2.888399,  46.581437,  -53.514591,  70.948162,  -48.962351,  0.485649,  6.273542,  23.585537
 0.180000,  2.503683,  49.948522,  -47.491140,  68.922154,  -43.555410,  0.429172,  7.347372,  18.418863
 0.185000,  2.125315,  57.939040,  -40.780776,  70.851987,  -35.140113,  0.360064,  8.872396,  12.964639
 0.190000,  2.057302,  69.205930,  -38.876390,  79.377795,  -29.325125,  0.345829,  9.222784,  11.959737
 0.195000,  2.229132,  81.646459,  -42.014787,  91.822582,  -27.230131,  0.380638,  8.389747,  14.488563
 0.200000,  2.591149,  93.148520,  -51.854365,  106.609202,  -29.104072,  0.443075,  7.070451,  19.631564
 0.205000,  3.051254,  98.714750,  -66.582256,  119.070562,  -33.999388,  0.506326,  5.911400,  25.636572
 0.210000,  3.438636,  93.165677,  -78.695542,  121.954220,  -40.187310,  0.549411,  5.202051,  30.185258
 0.215000,  3.715860,  80.017783,  -83.908303,  115.945888,  -46.359648,  0.575899,  4.793071,  33.165986
 0.220000,  4.081387,  49.967724,  -76.238103,  91.153836,  -56.758598,  0.606407,  4.344721,  36.772903
 0.225000,  4.036050,  71.838677,  -87.899900,  113.521751,  -50.741707,  0.602863,  4.395622,  36.344424
 0.230000,  4.246518,  70.117918,  -91.087426,  114.949735,  -52.411482,  0.618795,  4.169068,  38.290695
 0.235000,  4.642890,  66.172891,  -95.892901,  116.508798,  -55.391673,  0.645572,  3.801110,  41.676283
 0.240000,  5.184065,  58.021725,  -98.653504,  114.451013,  -59.538766,  0.676588,  3.393513,  45.777147
 0.245000,  5.520652,  51.182307,  -97.323736,  109.961530,  -62.260340,  0.693282,  3.181799,  48.064021
 0.250000,  5.772899,  45.948650,  -95.129050,  105.644757,  -64.218926,  0.704705,  3.039847,  49.660981
 0.255000,  5.926879,  42.147248,  -92.570255,  101.713532,  -65.520335,  0.711270,  2.959314,  50.590457
 0.260000,  6.089101,  38.910182,  -90.287911,  98.315355,  -66.686166,  0.717877,  2.879002,  51.534710
 0.265000,  6.245388,  36.001546,  -87.944844,  95.028453,  -67.737641,  0.723962,  2.805680,  52.412148
 0.270000,  6.373169,  33.572866,  -85.641881,  91.987331,  -68.594217,  0.728746,  2.748474,  53.107103
 0.275000,  6.459851,  31.464739,  -83.164822,  88.918037,  -69.276390,  0.731898,  2.710987,  53.567489
 0.280000,  6.527614,  29.742389,  -80.935481,  86.227384,  -69.822616,  0.734312,  2.682393,  53.921348
 0.285000,  6.558309,  28.326312,  -78.754131,  83.693447,  -70.217463,  0.735391,  2.669639,  54.079927
 0.290000,  6.601755,  26.986240,  -76.706958,  81.315525,  -70.617765,  0.736903,  2.651795,  54.302584
 0.295000,  6.592953,  25.968478,  -74.719660,  79.103662,  -70.835461,  0.736598,  2.655391,  54.257644
 0.300000,  6.555013,  25.173903,  -72.863280,  77.089448,  -70.940347,  0.735275,  2.671003,  54.062948
 0.305000,  6.549753,  24.445712,  -71.377109,  75.447230,  -71.094473,  0.735091,  2.673182,  54.035830
 0.310000,  6.586648,  23.589033,  -69.937525,  73.808535,  -71.361532,  0.736379,  2.657973,  54.225398
 0.315000,  6.602992,  22.793408,  -68.398054,  72.096000,  -71.569658,  0.736946,  2.651291,  54.308890
 0.320000,  6.614205,  22.003302,  -66.775042,  70.306838,  -71.762358,  0.737333,  2.646726,  54.366004
 0.325000,  6.642190,  21.242185,  -65.294750,  68.663199,  -71.978989,  0.738295,  2.635403,  54.507937
 0.330000,  6.675647,  20.495733,  -63.832201,  67.041964,  -72.198943,  0.739436,  2.621992,  54.676507
 0.335000,  6.627735,  19.932431,  -62.116125,  65.235840,  -72.209221,  0.737799,  2.641239,  54.434731
 0.340000,  6.515439,  19.633609,  -60.508431,  63.614061,  -72.023059,  0.733881,  2.687485,  53.858153
 0.345000,  6.412893,  19.385940,  -59.087491,  62.186383,  -71.836046,  0.730200,  2.731166,  53.319176
 0.350000,  6.302868,  19.155791,  -57.635387,  60.735346,  -71.615299,  0.726135,  2.779653,  52.727204
 0.355000,  6.191337,  18.925933,  -56.155967,  59.259459,  -71.375052,  0.721888,  2.830608,  52.112171
 0.360000,  5.992251,  18.989052,  -54.655471,  57.860216,  -70.841268,  0.713969,  2.926412,  50.975182
 0.365000,  5.793726,  19.121425,  -53.278554,  56.605947,  -70.257297,  0.705611,  3.028696,  49.788651
 0.370000,  5.568286,  19.351662,  -51.836853,  55.331240,  -69.528583,  0.695507,  3.153975,  48.372937
 0.375000,  5.334600,  19.648292,  -50.387429,  54.082792,  -68.697105,  0.684274,  3.295403,  46.823048
 0.380000,  5.071894,  20.175750,  -49.074438,  53.059979,  -67.651308,  0.670614,  3.470554,  44.972248
 0.385000,  4.788491,  20.875182,  -47.751758,  52.115292,  -66.387068,  0.654487,  3.681982,  42.835299
 0.390000,  4.495539,  21.839717,  -46.636849,  51.497271,  -64.906743,  0.636068,  3.929923,  40.458305
 0.395000,  4.204192,  23.104353,  -45.800908,  51.298483,  -63.231365,  0.615694,  4.212696,  37.907961
 0.400000,  3.964442,  24.490546,  -45.427503,  51.608574,  -61.670435,  0.597135,  4.478550,  35.657018
 0.405000,  3.784148,  25.835612,  -45.411191,  52.246102,  -60.363428,  0.581953,  4.702246,  33.866897
 0.410000,  3.662538,  27.037170,  -45.709176,  53.106848,  -59.395610,  0.571049,  4.866532,  32.609703
 0.415000,  3.579211,  28.230063,  -46.362627,  54.281025,  -58.662995,  0.563244,  4.986075,  31.724332
 0.420000,  3.565830,  29.327051,  -47.748423,  56.035594,  -58.441883,  0.561964,  5.005837,  31.580307
 0.425000,  3.662321,  29.674974,  -49.583255,  57.784975,  -59.100096,  0.571029,  4.866835,  32.607426
 0.430000,  3.858580,  29.158440,  -51.508578,  59.189089,  -60.486382,  0.588357,  4.607180,  34.616410
 0.435000,  4.114585,  27.961407,  -53.013426,  59.935496,  -62.191147,  0.608961,  4.308204,  37.083404
 0.440000,  4.424799,  26.266066,  -54.018532,  60.065864,  -64.069157,  0.631323,  3.994971,  39.856839
 0.445000,  4.769956,  24.313186,  -54.427636,  59.611229,  -65.929483,  0.653377,  3.696725,  42.690136
 0.450000,  5.061410,  22.640627,  -54.228551,  58.765072,  -67.339396,  0.670044,  3.477937,  44.895863
 0.455000,  5.302329,  21.294363,  -53.785109,  57.847108,  -68.400735,  0.682657,  3.315949,  46.602057
 0.460000,  5.516074,  20.140119,  -53.213277,  56.897076,  -69.269510,  0.693067,  3.184499,  48.034144
 0.465000,  5.735567,  19.047108,  -52.588493,  55.931582,  -70.090164,  0.703069,  3.060044,  49.430573
 0.470000,  5.954592,  18.067381,  -52.004549,  55.053640,  -70.841914,  0.712420,  2.945275,  50.754255
 0.475000,  6.182060,  17.119601,  -51.352712,  54.131154,  -71.563139,  0.721528,  2.834932,  52.060318
 0.480000,  6.386045,  16.250191,  -50.516190,  53.065565,  -72.168035,  0.729219,  2.742840,  53.176045
 0.485000,  6.518930,  15.644037,  -49.743068,  52.145074,  -72.541931,  0.734005,  2.686023,  53.876293
 0.490000,  6.614227,  15.143528,  -48.921233,  51.211458,  -72.800260,  0.737334,  2.646717,  54.366115
 0.495000,  6.734418,  14.635678,  -48.193352,  50.366678,  -73.107292,  0.741416,  2.598766,  54.969708
 0.500000,  6.848680,  14.169161,  -47.483487,  49.552464,  -73.384927,  0.745180,  2.554775,  55.529333
 0.505000,  6.934483,  13.774708,  -46.750420,  48.737504,  -73.582862,  0.747936,  2.522715,  55.940780
 0.510000,  7.054927,  13.340170,  -46.068223,  47.960831,  -73.850475,  0.751705,  2.479054,  56.506004
 0.515000,  7.120330,  13.004695,  -45.299945,  47.129684,  -73.982431,  0.753705,  2.455977,  56.807062
 0.520000,  7.179175,  12.717683,  -44.631353,  46.407942,  -74.095253,  0.755477,  2.435580,  57.074485
 0.525000,  7.144754,  12.591147,  -43.904555,  45.674357,  -73.998057,  0.754443,  2.447470,  56.918447
