Created: Mar 25, 2019  15:17:51
AIM version 912 // ID = 190216155237
"03-25-19-1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.375000,  4.246537,  24.619570,  -49.103473,  54.929722,  -63.371774,  0.618796,  4.169047,  38.290872
 0.380000,  4.100706,  25.021305,  -48.054872,  54.178745,  -62.494929,  0.607897,  4.323394,  36.953929
 0.385000,  3.975860,  25.421241,  -47.191319,  53.602799,  -61.689442,  0.598059,  4.465113,  35.767513
 0.390000,  3.859543,  25.894985,  -46.497924,  53.222243,  -60.886399,  0.588439,  4.605976,  34.626004
 0.395000,  3.744293,  26.508244,  -45.978549,  53.072723,  -60.035151,  0.578441,  4.754820,  33.459388
 0.400000,  3.653838,  27.088871,  -45.670575,  53.099985,  -59.326390,  0.570247,  4.878737,  32.518187
 0.405000,  3.571019,  27.630073,  -45.352188,  53.105949,  -58.648929,  0.562461,  4.998154,  31.636220
 0.410000,  3.502848,  28.296718,  -45.377978,  53.477707,  -58.053336,  0.555837,  5.101056,  30.895439
 0.415000,  3.461609,  28.832285,  -45.557244,  53.914406,  -57.671185,  0.551731,  5.165448,  30.440738
 0.420000,  3.444824,  29.342134,  -46.030979,  54.587653,  -57.484905,  0.550038,  5.192139,  30.254230
 0.425000,  3.476370,  29.507160,  -46.718456,  55.256553,  -57.723785,  0.553209,  5.142209,  30.604066
 0.430000,  3.537338,  29.506678,  -47.593966,  55.998479,  -58.202564,  0.559213,  5.048456,  31.271911
 0.435000,  3.647609,  29.027683,  -48.470356,  56.497627,  -59.083768,  0.569671,  4.887515,  32.452527
 0.440000,  3.778748,  28.243724,  -49.115224,  56.656978,  -60.099038,  0.581480,  4.709300,  33.811934
 0.445000,  3.912641,  27.397403,  -49.591391,  56.656189,  -61.081086,  0.592887,  4.540562,  35.151498
 0.450000,  4.050142,  26.455561,  -49.841171,  56.427290,  -62.040864,  0.603972,  4.379671,  36.478158
 0.455000,  4.199221,  25.386933,  -49.880381,  55.969177,  -63.026006,  0.615327,  4.217881,  37.862731
 0.460000,  4.329848,  24.396607,  -49.681097,  55.348043,  -63.846111,  0.624755,  4.085808,  39.031853
 0.465000,  4.468343,  23.452970,  -49.519585,  54.792619,  -64.657410,  0.634259,  3.954674,  40.228388
 0.470000,  4.595312,  22.544752,  -49.163447,  54.086138,  -65.365470,  0.642558,  3.841754,  41.288069
 0.475000,  4.703830,  21.763091,  -48.746233,  53.383774,  -65.941414,  0.649358,  3.750311,  42.166632
 0.480000,  4.824292,  20.972611,  -48.336466,  52.690268,  -66.544675,  0.656611,  3.653842,  43.113748
 0.485000,  4.936355,  20.234128,  -47.850516,  51.952785,  -67.078500,  0.663093,  3.568512,  43.969221
 0.490000,  5.030902,  19.589099,  -47.312755,  51.207710,  -67.508890,  0.668375,  3.499601,  44.672466
 0.495000,  5.133340,  18.963595,  -46.823294,  50.517707,  -67.952003,  0.673913,  3.427918,  45.415925
 0.500000,  5.215808,  18.416291,  -46.262028,  49.792921,  -68.293284,  0.678240,  3.372335,  46.000915
 0.505000,  5.297374,  17.912249,  -45.745080,  49.126989,  -68.616464,  0.682407,  3.319127,  46.567969
