!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Tue Mar 28 10:57:36 2023

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+5.87518825000e+005, +1.23797287336e+003, -1.77710173860e+004
+5.93768812500e+005, +1.22411470917e+003, -1.75898702692e+004
+6.00018800000e+005, +1.21091737500e+003, -1.74147850690e+004
+6.06268787500e+005, +1.19753807096e+003, -1.72440115104e+004
+6.12518775000e+005, +1.18531610782e+003, -1.70751209370e+004
+6.18768762500e+005, +1.17286736295e+003, -1.69092884855e+004
+6.25018750000e+005, +1.15955790573e+003, -1.67493534298e+004
+6.31268737500e+005, +1.14880810203e+003, -1.65905198721e+004
+6.37518725000e+005, +1.13631831486e+003, -1.64337999961e+004
+6.43768712500e+005, +1.12481467020e+003, -1.62808263801e+004
+6.50018700000e+005, +1.11357471920e+003, -1.61314509581e+004
+6.56268687500e+005, +1.10241134956e+003, -1.59855244254e+004
+6.62518675000e+005, +1.09146110097e+003, -1.58401114893e+004
+6.68768662500e+005, +1.08124778231e+003, -1.56998760227e+004
+6.75018650000e+005, +1.07115717518e+003, -1.55611645332e+004
+6.81268637500e+005, +1.06008657426e+003, -1.54236759664e+004
+6.87518625000e+005, +1.05071832370e+003, -1.52895748556e+004
+6.93768612500e+005, +1.04076249310e+003, -1.51581415237e+004
+7.00018600000e+005, +1.03153393193e+003, -1.50295244666e+004
+7.06268587500e+005, +1.02136695214e+003, -1.49010884675e+004
+7.12518575000e+005, +1.01181935881e+003, -1.47764175486e+004
+7.18768562500e+005, +1.00331443495e+003, -1.46533324100e+004
+7.25018550000e+005, +9.94106915924e+002, -1.45322075884e+004
+7.31268537500e+005, +9.85173288495e+002, -1.44134515836e+004
+7.37518525000e+005, +9.77042006649e+002, -1.42964021711e+004
+7.43768512500e+005, +9.68038367151e+002, -1.41815189209e+004
+7.50018500000e+005, +9.60360956234e+002, -1.40687458606e+004
+7.56268487500e+005, +9.51314231287e+002, -1.39573597310e+004
+7.62518475000e+005, +9.43532715005e+002, -1.38481640081e+004
